Sample.Label,Area,Effort,distance,size,survey,Region.Label,Time
PC01,140000,4,0,2,1,1,day
PC01,140000,4,2.5,1,1,1,day
PC01,140000,4,3,1,1,1,day
PC01,140000,4,2.2,1,1,1,day
PC03,140000,4,13.2,1,1,1,day
PC05,140000,4,11.9,5,1,1,day
PC05,140000,4,20.7,2,1,1,day
PC05,140000,4,5.9,1,1,1,day
PC05,140000,4,24.3,3,1,1,day
PC05,140000,4,7.7,2,1,1,day
PC05,140000,4,10.5,1,1,1,day
PC05,140000,4,6.9,3,1,1,day
PC05,140000,4,3,2,1,1,day
PC05,140000,4,5.6,4,1,1,day
PC05,140000,4,20.5,2,1,1,day
PC06,140000,4,31.4,3,1,1,day
PC06,140000,4,30.5,2,1,1,day
PC06,140000,4,11,1,1,1,day
PC06,140000,4,7.6,2,1,1,day
PC06,140000,4,38.1,6,1,1,day
PC06,140000,4,12.1,6,1,1,day
PC08,140000,4,12.8,1,1,1,day
PC08,140000,4,5.2,1,1,1,day
PC08,140000,4,5.2,1,1,1,day
PC08,140000,4,6,2,1,1,day
PC08,140000,4,23.4,1,1,1,day
PC08,140000,4,24.2,3,1,1,day
PC08,140000,4,22.2,1,1,1,day
PC09,140000,4,11.9,2,1,1,day
PC09,140000,4,12,2,1,1,day
PC09,140000,4,31.6,1,1,1,day
PC09,140000,4,20.5,1,1,1,day
PC09,140000,4,31.5,1,1,1,day
PC09,140000,4,25,2,1,1,day
PC09,140000,4,23.3,2,1,1,day
PC09,140000,4,20.7,1,1,1,day
PC09,140000,4,8.4,1,1,1,day
PC09,140000,4,20.4,1,1,1,day
PC09,140000,4,19.3,2,1,1,day
PC10,140000,4,14.3,5,1,1,day
PC10,140000,4,5.5,4,1,1,day
PC10,140000,4,0,3,1,1,day
PC10,140000,4,2.2,2,1,1,day
PC10,140000,4,10.4,6,1,1,day
PC10,140000,4,6.2,6,1,1,day
PC10,140000,4,16.3,1,1,1,day
PC10,140000,4,10.8,1,1,1,day
PC10,140000,4,13.5,5,1,1,day
PC10,140000,4,7.1,4,1,1,day
PC10,140000,4,13.6,3,1,1,day
PC10,140000,4,24.7,1,1,1,day
PC10,140000,4,10.6,1,1,1,day
PC11,140000,4,4.7,2,1,1,day
PC11,140000,4,4.7,1,1,1,day
PC11,140000,4,5.5,1,1,1,day
PC11,140000,4,3.7,2,1,1,day
PC11,140000,4,4.7,2,1,1,day
PC11,140000,4,12.7,2,1,1,day
PC11,140000,4,13.6,1,1,1,day
PC11,140000,4,12.2,1,1,1,day
PC11,140000,4,4.8,1,1,1,day
PC11,140000,4,3.2,1,1,1,day
PC11,140000,4,8,2,1,1,day
PC11,140000,4,9.4,2,1,1,day
PC11,140000,4,12.8,1,1,1,day
PC11,140000,4,10,1,1,1,day
PC11,140000,4,5.2,1,1,1,day
PC11,140000,4,11,3,1,1,day
PC11,140000,4,7.2,1,1,1,day
PC13,140000,4,28.4,4,1,1,day
PC13,140000,4,7.6,1,1,1,day
PC13,140000,4,5.8,3,1,1,day
PC13,140000,4,5.9,1,1,1,day
PC13,140000,4,9.5,2,1,1,day
PC13,140000,4,25.8,2,1,1,day
PC13,140000,4,12.2,1,1,1,day
PC13,140000,4,14.2,4,1,1,day
PC14,140000,4,2.5,1,1,1,day
PC14,140000,4,2.5,1,1,1,day
PC14,140000,4,9.7,3,1,1,day
PC14,140000,4,19.8,8,1,1,day
PC14,140000,4,13.4,2,1,1,day
PC14,140000,4,8.2,4,1,1,day
PC14,140000,4,14.6,4,1,1,day
PC14,140000,4,11.8,3,1,1,day
PC14,140000,4,5.5,3,1,1,day
PC14,140000,4,13.2,5,1,1,day
PC15,140000,4,0,6,1,1,day
PC15,140000,4,34.8,1,1,1,day
PC15,140000,4,45.4,9,1,1,day
PC15,140000,4,18,5,1,1,day
PC15,140000,4,23,4,1,1,day
PC16,140000,4,2.7,2,1,1,day
PC16,140000,4,3.3,1,1,1,day
PC16,140000,4,4.3,1,1,1,day
PC16,140000,4,10.1,3,1,1,day
PC16,140000,4,9.4,3,1,1,day
PC16,140000,4,10.3,6,1,1,day
PC16,140000,4,13,1,1,1,day
PC16,140000,4,5,1,1,1,day
PC16,140000,4,4,1,1,1,day
PC16,140000,4,16.2,8,1,1,day
PC16,140000,4,19.1,1,1,1,day
PC16,140000,4,28.8,2,1,1,day
PC16,140000,4,10,2,1,1,day
PC16,140000,4,6.6,1,1,1,day
PC16,140000,4,22.4,1,1,1,day
PC16,140000,4,32.8,3,1,1,day
PC16,140000,4,5,1,1,1,day
PC16,140000,4,16.2,3,1,1,day
PC16,140000,4,19.9,1,1,1,day
PC01,140000,4,0,5,2,1,day
PC03,140000,4,14.7,3,2,1,day
PC05,140000,4,6.1,1,2,1,day
PC05,140000,4,4,1,2,1,day
PC05,140000,4,9.9,1,2,1,day
PC05,140000,4,8.4,1,2,1,day
PC06,140000,4,0,1,2,1,day
PC06,140000,4,2.9,2,2,1,day
PC06,140000,4,3.2,1,2,1,day
PC06,140000,4,2.8,3,2,1,day
PC06,140000,4,6.8,2,2,1,day
PC06,140000,4,15.3,3,2,1,day
PC06,140000,4,34.8,1,2,1,day
PC06,140000,4,47.4,1,2,1,day
PC08,140000,4,8.3,3,2,1,day
PC08,140000,4,15.3,3,2,1,day
PC08,140000,4,26,2,2,1,day
PC08,140000,4,16.3,4,2,1,day
PC08,140000,4,19.4,1,2,1,day
PC08,140000,4,24.5,3,2,1,day
PC08,140000,4,18.7,1,2,1,day
PC08,140000,4,22.3,1,2,1,day
PC08,140000,4,16.7,3,2,1,day
PC09,140000,4,10.9,1,2,1,day
PC09,140000,4,34.2,1,2,1,day
PC09,140000,4,27.6,4,2,1,day
PC09,140000,4,23.8,4,2,1,day
PC09,140000,4,9.4,1,2,1,day
PC10,140000,4,2.4,1,2,1,day
PC10,140000,4,1.5,1,2,1,day
PC10,140000,4,1,1,2,1,day
PC10,140000,4,4.9,5,2,1,day
PC10,140000,4,5.2,2,2,1,day
PC10,140000,4,7,1,2,1,day
PC10,140000,4,10.5,4,2,1,day
PC10,140000,4,12.3,1,2,1,day
PC10,140000,4,4.9,1,2,1,day
PC10,140000,4,15,2,2,1,day
PC10,140000,4,12.6,1,2,1,day
PC10,140000,4,8.5,4,2,1,day
PC10,140000,4,9.1,1,2,1,day
PC10,140000,4,11.3,1,2,1,day
PC10,140000,4,49.4,3,2,1,day
PC10,140000,4,19.4,2,2,1,day
PC10,140000,4,1,1,2,1,day
PC10,140000,4,3.8,1,2,1,day
PC10,140000,4,6,1,2,1,day
PC10,140000,4,22.4,1,2,1,day
PC10,140000,4,11.3,1,2,1,day
PC11,140000,4,5.6,3,2,1,day
PC11,140000,4,24.1,3,2,1,day
PC11,140000,4,15.2,5,2,1,day
PC11,140000,4,11.6,7,2,1,day
PC11,140000,4,12.8,1,2,1,day
PC11,140000,4,24.9,4,2,1,day
PC11,140000,4,6.3,7,2,1,day
PC11,140000,4,12,1,2,1,day
PC11,140000,4,8.6,5,2,1,day
PC11,140000,4,13.1,1,2,1,day
PC11,140000,4,6.2,1,2,1,day
PC13,140000,4,14.2,1,2,1,day
PC13,140000,4,18.8,1,2,1,day
PC13,140000,4,9.8,1,2,1,day
PC13,140000,4,12.4,1,2,1,day
PC13,140000,4,15.2,1,2,1,day
PC13,140000,4,17,3,2,1,day
PC13,140000,4,27.4,2,2,1,day
PC13,140000,4,9.8,1,2,1,day
PC13,140000,4,23.8,3,2,1,day
PC13,140000,4,12.2,1,2,1,day
PC14,140000,4,2.5,1,2,1,day
PC14,140000,4,1.5,1,2,1,day
PC14,140000,4,2.5,1,2,1,day
PC14,140000,4,7,3,2,1,day
PC14,140000,4,9.1,1,2,1,day
PC14,140000,4,16.2,1,2,1,day
PC14,140000,4,17.8,1,2,1,day
PC14,140000,4,9.4,2,2,1,day
PC14,140000,4,10,2,2,1,day
PC14,140000,4,11.8,1,2,1,day
PC14,140000,4,10.4,2,2,1,day
PC14,140000,4,9.8,3,2,1,day
PC14,140000,4,13.4,3,2,1,day
PC14,140000,4,4,3,2,1,day
PC14,140000,4,15.8,1,2,1,day
PC15,140000,4,16.2,5,2,1,day
PC15,140000,4,19.4,3,2,1,day
PC15,140000,4,24.4,1,2,1,day
PC15,140000,4,5,1,2,1,day
PC15,140000,4,2,1,2,1,day
PC15,140000,4,3,1,2,1,day
PC15,140000,4,4,2,2,1,day
PC15,140000,4,29.2,1,2,1,day
PC15,140000,4,29,1,2,1,day
PC15,140000,4,19.8,2,2,1,day
PC15,140000,4,41,2,2,1,day
PC16,140000,4,3.8,1,2,1,day
PC16,140000,4,8.6,1,2,1,day
PC16,140000,4,8.6,1,2,1,day
PC16,140000,4,6.4,1,2,1,day
PC16,140000,4,6.4,1,2,1,day
PC16,140000,4,12.6,1,2,1,day
PC16,140000,4,15,1,2,1,day
PC16,140000,4,14.6,1,2,1,day
PC16,140000,4,13.2,1,2,1,day
PC16,140000,4,9.8,1,2,1,day
PC16,140000,4,10.2,1,2,1,day
PC16,140000,4,7.8,1,2,1,day
PC16,140000,4,8,1,2,1,day
PC16,140000,4,11.8,1,2,1,day
PC16,140000,4,4.9,2,2,1,day
PC16,140000,4,5,1,2,1,day
PC16,140000,4,3.6,1,2,1,day
PC16,140000,4,5.2,1,2,1,day
PC16,140000,4,29.4,2,2,1,day
PC01,140000,4,2,1,3,1,night
PC01,140000,4,2.7,1,3,1,night
PC01,140000,4,2.2,1,3,1,night
PC01,140000,4,17.13,1,3,1,night
PC01,140000,4,14.8,1,3,1,night
PC03,140000,4,17.2,1,3,1,night
PC03,140000,4,18.8,1,3,1,night
PC03,140000,4,15.9,1,3,1,night
PC03,140000,4,12.2,1,3,1,night
PC03,140000,4,21,1,3,1,night
PC03,140000,4,10,1,3,1,night
PC05,140000,4,3.5,1,3,1,night
PC05,140000,4,2.3,1,3,1,night
PC05,140000,4,3.4,1,3,1,night
PC05,140000,4,5.4,1,3,1,night
PC05,140000,4,8.2,1,3,1,night
PC06,140000,4,11.6,18,3,1,night
PC06,140000,4,14.6,5,3,1,night
PC06,140000,4,9,14,3,1,night
PC06,140000,4,9.9,5,3,1,night
PC06,140000,4,15.5,1,3,1,night
PC06,140000,4,3.4,1,3,1,night
PC06,140000,4,8.3,1,3,1,night
PC06,140000,4,3.8,2,3,1,night
PC06,140000,4,10,1,3,1,night
PC08,140000,4,6.7,1,3,1,night
PC08,140000,4,6.1,1,3,1,night
PC08,140000,4,7.2,1,3,1,night
PC08,140000,4,6.8,1,3,1,night
PC08,140000,4,23.2,4,3,1,night
PC08,140000,4,14.8,2,3,1,night
PC09,140000,4,13.7,2,3,1,night
PC09,140000,4,14.6,1,3,1,night
PC09,140000,4,13.1,1,3,1,night
PC09,140000,4,17.1,2,3,1,night
PC09,140000,4,20.18,2,3,1,night
PC09,140000,4,22.3,1,3,1,night
PC09,140000,4,22.6,1,3,1,night
PC09,140000,4,23.8,2,3,1,night
PC09,140000,4,34.4,3,3,1,night
PC09,140000,4,24.4,3,3,1,night
PC09,140000,4,18.1,1,3,1,night
PC09,140000,4,22.9,1,3,1,night
PC10,140000,4,4.9,6,3,1,night
PC10,140000,4,18.28,3,3,1,night
PC10,140000,4,7.7,2,3,1,night
PC10,140000,4,5.9,3,3,1,night
PC10,140000,4,7.8,3,3,1,night
PC10,140000,4,14.4,1,3,1,night
PC10,140000,4,10.3,1,3,1,night
PC10,140000,4,8.1,2,3,1,night
PC10,140000,4,10.9,2,3,1,night
PC10,140000,4,12.9,3,3,1,night
PC10,140000,4,12.8,6,3,1,night
PC10,140000,4,11.4,2,3,1,night
PC11,140000,4,5.8,3,3,1,night
PC11,140000,4,4.3,1,3,1,night
PC11,140000,4,5.4,4,3,1,night
PC11,140000,4,7,2,3,1,night
PC11,140000,4,17,2,3,1,night
PC11,140000,4,6.3,2,3,1,night
PC11,140000,4,12.8,1,3,1,night
PC11,140000,4,7.9,3,3,1,night
PC13,140000,4,10,3,3,1,night
PC13,140000,4,14,1,3,1,night
PC13,140000,4,18,5,3,1,night
PC13,140000,4,8,2,3,1,night
PC13,140000,4,11,3,3,1,night
PC13,140000,4,13,2,3,1,night
PC13,140000,4,10,2,3,1,night
PC13,140000,4,11,3,3,1,night
PC13,140000,4,19,9,3,1,night
PC13,140000,4,13,3,3,1,night
PC14,140000,4,10,5,3,1,night
PC14,140000,4,11,2,3,1,night
PC14,140000,4,6,1,3,1,night
PC14,140000,4,0,4,3,1,night
PC14,140000,4,7,6,3,1,night
PC14,140000,4,8,1,3,1,night
PC14,140000,4,3,3,3,1,night
PC14,140000,4,12,8,3,1,night
PC14,140000,4,17,5,3,1,night
PC14,140000,4,14,2,3,1,night
PC14,140000,4,10,6,3,1,night
PC14,140000,4,9,5,3,1,night
PC15,140000,4,0,5,3,1,night
PC15,140000,4,7,4,3,1,night
PC15,140000,4,20,3,3,1,night
PC15,140000,4,19,8,3,1,night
PC15,140000,4,20,2,3,1,night
PC16,140000,4,8,3,3,1,night
PC16,140000,4,15,12,3,1,night
PC16,140000,4,14,17,3,1,night
PC16,140000,4,20,6,3,1,night
PC16,140000,4,8,1,3,1,night
PC16,140000,4,0,5,3,1,night
PC16,140000,4,8,2,3,1,night
PC16,140000,4,15,1,3,1,night
PC16,140000,4,10,1,3,1,night
PC16,140000,4,8,5,3,1,night
PC16,140000,4,7,4,3,1,night
PC16,140000,4,9,2,3,1,night
PC16,140000,4,8,4,3,1,night
PC16,140000,4,13,5,3,1,night
PC01,140000,4,1,1,4,1,night
PC01,140000,4,1.5,1,4,1,night
PC01,140000,4,3.1,1,4,1,night
PC01,140000,4,2,1,4,1,night
PC01,140000,4,0,1,4,1,night
PC01,140000,4,0,1,4,1,night
PC01,140000,4,0.5,1,4,1,night
PC01,140000,4,2.8,1,4,1,night
PC01,140000,4,3.1,1,4,1,night
PC03,140000,4,21.4,1,4,1,night
PC03,140000,4,22.5,1,4,1,night
PC03,140000,4,15.4,1,4,1,night
PC03,140000,4,16.8,1,4,1,night
PC03,140000,4,25,3,4,1,night
PC03,140000,4,29,1,4,1,night
PC03,140000,4,6.9,1,4,1,night
PC05,140000,4,8.7,1,4,1,night
PC05,140000,4,4.7,1,4,1,night
PC05,140000,4,2.1,1,4,1,night
PC05,140000,4,10.5,1,4,1,night
PC05,140000,4,14.6,2,4,1,night
PC05,140000,4,17,1,4,1,night
PC05,140000,4,15.6,1,4,1,night
PC05,140000,4,10.1,5,4,1,night
PC06,140000,4,0,3,4,1,night
PC06,140000,4,11.1,3,4,1,night
PC06,140000,4,7.8,1,4,1,night
PC06,140000,4,8.5,7,4,1,night
PC06,140000,4,11.7,5,4,1,night
PC08,140000,4,7.8,1,4,1,night
PC08,140000,4,8.4,1,4,1,night
PC08,140000,4,5.8,2,4,1,night
PC08,140000,4,8.8,1,4,1,night
PC08,140000,4,14.7,1,4,1,night
PC08,140000,4,14.3,1,4,1,night
PC08,140000,4,22.5,1,4,1,night
PC08,140000,4,18,1,4,1,night
PC08,140000,4,22.1,1,4,1,night
PC08,140000,4,9.9,1,4,1,night
PC08,140000,4,2.8,1,4,1,night
PC08,140000,4,24.7,1,4,1,night
PC08,140000,4,23.7,4,4,1,night
PC09,140000,4,11.6,2,4,1,night
PC09,140000,4,11.5,2,4,1,night
PC09,140000,4,18.1,1,4,1,night
PC09,140000,4,14.8,2,4,1,night
PC09,140000,4,9.4,3,4,1,night
PC09,140000,4,6.7,1,4,1,night
PC09,140000,4,19.5,3,4,1,night
PC10,140000,4,2.4,4,4,1,night
PC10,140000,4,6.5,5,4,1,night
PC10,140000,4,9.9,3,4,1,night
PC10,140000,4,17.4,6,4,1,night
PC10,140000,4,4.9,5,4,1,night
PC10,140000,4,15.7,3,4,1,night
PC10,140000,4,7.6,8,4,1,night
PC10,140000,4,10.4,2,4,1,night
PC10,140000,4,9.9,1,4,1,night
PC10,140000,4,6.8,4,4,1,night
PC10,140000,4,11.7,6,4,1,night
PC10,140000,4,5.2,6,4,1,night
PC10,140000,4,0,4,4,1,night
PC11,140000,4,5.4,1,4,1,night
PC11,140000,4,4.4,1,4,1,night
PC11,140000,4,6.6,1,4,1,night
PC11,140000,4,5.1,2,4,1,night
PC11,140000,4,5.3,1,4,1,night
PC11,140000,4,4.8,1,4,1,night
PC11,140000,4,10.7,1,4,1,night
PC11,140000,4,7.7,1,4,1,night
PC11,140000,4,9.4,1,4,1,night
PC11,140000,4,20,1,4,1,night
PC11,140000,4,21.7,1,4,1,night
PC11,140000,4,6.4,1,4,1,night
PC11,140000,4,10.9,1,4,1,night
PC11,140000,4,6.4,1,4,1,night
PC11,140000,4,7,1,4,1,night
PC11,140000,4,6.6,2,4,1,night
PC11,140000,4,6.1,1,4,1,night
PC11,140000,4,7.9,1,4,1,night
PC11,140000,4,9.3,1,4,1,night
PC11,140000,4,5,1,4,1,night
PC13,140000,4,9.6,2,4,1,night
PC13,140000,4,15.2,3,4,1,night
PC13,140000,4,13,1,4,1,night
PC13,140000,4,13.1,1,4,1,night
PC13,140000,4,9.4,3,4,1,night
PC13,140000,4,11.7,2,4,1,night
PC13,140000,4,16,1,4,1,night
PC13,140000,4,10,1,4,1,night
PC13,140000,4,8.2,4,4,1,night
PC13,140000,4,10.7,1,4,1,night
PC13,140000,4,15,4,4,1,night
PC13,140000,4,14,1,4,1,night
PC13,140000,4,16.2,3,4,1,night
PC13,140000,4,13,1,4,1,night
PC14,140000,4,1,1,4,1,night
PC14,140000,4,2.1,2,4,1,night
PC14,140000,4,4.5,3,4,1,night
PC14,140000,4,4.8,3,4,1,night
PC14,140000,4,8,4,4,1,night
PC14,140000,4,8.5,1,4,1,night
PC14,140000,4,11,4,4,1,night
PC14,140000,4,5.5,2,4,1,night
PC14,140000,4,2.8,1,4,1,night
PC14,140000,4,11,4,4,1,night
PC14,140000,4,12,4,4,1,night
PC14,140000,4,13.3,2,4,1,night
PC14,140000,4,2.8,1,4,1,night
PC14,140000,4,12.8,1,4,1,night
PC14,140000,4,21,3,4,1,night
PC15,140000,4,0,2,4,1,night
PC15,140000,4,3,4,4,1,night
PC15,140000,4,5.5,1,4,1,night
PC15,140000,4,19.7,5,4,1,night
PC15,140000,4,21.1,4,4,1,night
PC16,140000,4,3,1,4,1,night
PC16,140000,4,4.3,1,4,1,night
PC16,140000,4,9.8,3,4,1,night
PC16,140000,4,10.4,2,4,1,night
PC16,140000,4,9.5,1,4,1,night
PC16,140000,4,4.4,1,4,1,night
PC16,140000,4,3.2,1,4,1,night
PC16,140000,4,9.4,2,4,1,night
PC16,140000,4,10.5,2,4,1,night
PC16,140000,4,7.4,1,4,1,night
PC16,140000,4,9,1,4,1,night
PC16,140000,4,20,10,4,1,night
PC16,140000,4,5,1,4,1,night
PC16,140000,4,5.2,2,4,1,night
PC16,140000,4,22,2,4,1,night
PC16,140000,4,33,1,4,1,night